subjectName,courseID,lecOrSection,enrollCode,days,time,location
Astronomy,ASTRO 1,0,55624,F,10:00am - 10:50am,GIRV 2108
Astronomy,ASTRO 1,0,55632,F,11:00am - 11:50am,PHELP1448
Astronomy,ASTRO 1H,1,ANTONUCCI R R,R,3:30pm - 4:45pm,NH 1105
Biology,BIOL CS 20,1,TYLER C M||LATTO J G||,M W,11:00am - 12:15pm,CRST 143
Biology,BIOL CS 101,1,TYLER C M||LATTO J G||,W,1:00pm - 2:15pm,CRST 143
Biology(CreativeStudies),BIOL CS 20,1,T B A,M W,11:00am - 12:15pm,CRST 143
Biology(CreativeStudies),BIOL CS 101,1,T B A,W,1:00pm - 2:15pm,CRST 143
BiomolecularScienceandEngineering,BMSE 199,1,T B A,,,T B A
BlackStudies,BL ST 1,1,BANKS I,M W,12:30pm - 1:45pm,PSYCH1924
BlackStudies,BL ST 1,0,03574,T,8:00 am - 8:50 am,SH 3707
BlackStudies,BL ST 1,0,03582,T,9:00 am - 9:50 am,SH 3707
BlackStudies,BL ST 1,0,03590,T,10:00am - 10:50am,SH 3707
BlackStudies,BL ST 1,0,03608,T,11:00am - 11:50am,SH 3707
BlackStudies,BL ST 1,0,03616,T,12:00pm - 12:50pm,SH 3707
BlackStudies,BL ST 1,0,03624,T,1:00pm - 1:50pm,SH 3707
BlackStudies,BL ST 4,1,BASHI TREITLE,T R,3:30pm - 4:45pm,LSB 1001
BlackStudies,BL ST 4,0,63511,R,8:00 am - 8:50 am,SH 3707
BlackStudies,BL ST 4,0,63529,R,9:00 am - 9:50 am,SH 3707
BlackStudies,BL ST 4,0,63537,R,10:00am - 10:50am,SH 3707
BlackStudies,BL ST 4,0,63545,R,11:00am - 11:50am,SH 3707
BlackStudies,BL ST 4,0,63552,R,12:00pm - 12:50pm,SH 3707
BlackStudies,BL ST 4,0,63560,R,1:00pm - 1:50pm,SH 3707
BlackStudies,BL ST 6,1,LIPSITZ G R,T R,3:30pm - 4:45pm,BUCHN1940
BlackStudies,BL ST 6,0,03640,W,8:00 am - 8:50 am,SH 3707
BlackStudies,BL ST 6,0,03657,W,2:00pm - 2:50pm,SH 3707
BlackStudies,BL ST 6,0,03665,W,3:00pm - 3:50pm,SH 3707
BlackStudies,BL ST 6,0,03673,W,4:00pm - 4:50pm,SH 3707
BlackStudies,BL ST 6,0,03681,W,5:00pm - 5:50pm,SH 3707
BlackStudies,BL ST 6,0,03699,W,6:00pm - 6:50pm,SH 3707
BlackStudies,BL ST 14,1,STEWART J C,T R,11:00am - 12:15pm,PSYCH1924
BlackStudies,BL ST 14,0,03715,T,2:00pm - 2:50pm,SH 3707
BlackStudies,BL ST 14,0,03723,T,3:00pm - 3:50pm,SH 3707
BlackStudies,BL ST 14,0,03731,T,4:00pm - 4:50pm,SH 3707
BlackStudies,BL ST 14,0,63479,W,11:00am - 11:50am,SH 3707
BlackStudies,BL ST 14,0,63487,W,12:00pm - 12:50pm,SH 3707
BlackStudies,BL ST 14,0,63495,W,1:00pm - 1:50pm,SH 3707
BlackStudies,BL ST 49B,1,MIESCHER S F,T R,5:00pm - 6:15pm,LSB 1001
BlackStudies,BL ST 49B,0,64758,M,8:00 am - 8:50 am,GIRV 2110
BlackStudies,BL ST 49B,0,64766,F,3:00pm - 3:50pm,LSB 1101
BlackStudies,BL ST 49B,0,64774,W,1:00pm - 1:50pm,GIRV 1106
BlackStudies,BL ST 49B,0,64782,R,3:00pm - 3:50pm,GIRV 2135
BlackStudies,BL ST 49B,0,64790,F,4:00pm - 4:50pm,GIRV 1106
BlackStudies,BL ST 49B,0,64808,M,2:00pm - 2:50pm,GIRV 1106
BlackStudies,BL ST 99,1,T B A,,,T B A
BlackStudies,BL ST 106,1,BANKS I,M W,2:00pm - 3:15pm,PSYCH1902
BlackStudies,BL ST 126,1,AKUDINOBI J,T R,8:00 am - 9:15 am,ED 1213
BlackStudies,BL ST 127,1,BLOMGREN O L,T R,2:00pm - 3:15pm,GIRV 2119
BlackStudies,BL ST 131,1,GALICIA M G,M W,5:00pm - 6:15pm,NH 1105
BlackStudies,BL ST 136,1,MINGO A,M W,2:00pm - 3:15pm,NH 1105
BlackStudies,BL ST 142,1,BLAKE G K,T R,3:30pm - 4:45pm,PHELP1425
BlackStudies,BL ST 147PL,1,BATISTE S L,M W,11:00am - 12:15pm,TD-W 2600
BlackStudies,BL ST 155,1,STEWART J C,T R,12:30pm - 1:45pm,PSYCH1902
BlackStudies,BL ST 172,1,AKUDINOBI J,T R,9:30 am - 10:45am,ED 1213
BlackStudies,BL ST 172,0,,W,5:00pm - 7:50pm,PHELP1160
BlackStudies,BL ST 174,1,GALICIA M G,M W,6:30pm - 7:45pm,NH 1105
BlackStudies,BL ST 180,1,DURAN J M,W F,9:30 am - 10:45am,SH 3707
BlackStudies,BL ST 193PR,1,LIPSITZ G R,W,3:00pm - 5:50pm,PHELP1425
BlackStudies,BL ST 195B,1,MCAULEY C,T,1:00pm - 3:50pm,
BlackStudies,BL ST 197,1,T B A,,,T B A
BlackStudies,BL ST 199,1,T B A,,,T B A
BlackStudies,BL ST 199RA,1,T B A,,,T B A
ChemicalEngineering,CH E 99,1,T B A,,,T B A
ChemicalEngineering,CH E 107,1,O'MALLEY M A,T R,11:00am - 12:15pm,ENGR21519
ChemicalEngineering,CH E 110A,1,SHELL M S,M W F,12:00pm - 12:50pm,ENGR21519
ChemicalEngineering,CH E 110A,0,04796,W,1:00pm - 1:50pm,ENGR21519
ChemicalEngineering,CH E 120B,1,CHMELKA B F,M W,2:00pm - 3:15pm,ENGR21519
ChemicalEngineering,CH E 132C,1,MUKHERJEE ARN,T R,12:30pm - 1:45pm,ENGR21519
ChemicalEngineering,CH E 146,1,CHRISTOPHER P,M W F,12:00pm - 12:50pm,ENGR23301
ChemicalEngineering,CH E 154,1,DEY S S,T R,2:00pm - 3:15pm,ENGR21519
ChemicalEngineering,CH E 160,1,SEGALMAN R A,M W,10:00am - 11:15am,ENGR21519
ChemicalEngineering,CH E 180B,1,CHADA J P||GORDON M J||,T,1:00pm - 4:50pm,ENGR21165
